	NLM2	NEM2	MB2	NEB1	NEM1	MM1	IB1	IB2	IM2	IM1	NLB2	NEB2	IE2	NEE2	NEE1	MB1	NLE2	NLM1	MM2	NLE1	ME2	NLB1	ME1	IE1
IE2	0.291964060767	0.350073201909	0.217567137809	0.283678453939	0.326856480921	0.309270585776	0.254312001893	0.236414982332	0.278743800436	0.273162042051	0.218349116608	0.288541013708	0.0	0.268921132622	0.290629611307	0.245352589142	0.157398480565	0.330660266221	0.337140379295	0.195918412507	0.162629754662	0.223620600067	0.17206214846	0.116379008463
NEE2	0.301323160687	0.327564366181	0.334559435255	0.139027089701	0.295877603194	0.328668139047	0.294681183131	0.321874855901	0.305533494252	0.296724472502	0.283747732877	0.160129751773	0.268921132622	0.0	0.117797250708	0.294464904776	0.243964308381	0.330764114619	0.284534255319	0.205420635551	0.276905351329	0.289288207678	0.26448641844	0.235580494309
NEE1	0.294910826133	0.333194117166	0.337781696113	0.15210146444	0.297367549127	0.32964613323	0.306149452928	0.326713215548	0.310042043092	0.303477631251	0.28738565371	0.164706506027	0.290629611307	0.117797250708	0.0	0.302345265265	0.273176368678	0.332110832732	0.249555594943	0.239586846539	0.297601412925	0.306305036488	0.283609680976	0.267337499969
MB1	0.28977849829	0.346495570605	0.150147385159	0.276801916675	0.312885310157	0.31056123855	0.188696107642	0.150986020164	0.289568770291	0.282604463579	0.196966550199	0.259308433765	0.245352589142	0.294464904776	0.302345265265	0.0	0.260974497984	0.314615722235	0.283959596042	0.288552574362	0.268908208944	0.191225664589	0.281428512126	0.211618929398
NLE2	0.289346569343	0.33852951415	0.228753423177	0.267153765292	0.315252418211	0.301266108769	0.26964219317	0.245591539811	0.272108061609	0.269153395849	0.237852280828	0.306068152405	0.157398480565	0.243964308381	0.273176368678	0.260974497984	0.0	0.313784416189	0.331315071957	0.17876284286	0.168051340364	0.231717412726	0.147650331832	0.156504396187
NLM1	0.179198485467	0.192743059045	0.332242268323	0.308339114039	0.165712391377	0.157680803675	0.305430288146	0.339321223957	0.180884700128	0.183635479407	0.297645367225	0.334480218104	0.330660266221	0.330764114619	0.332110832732	0.314615722235	0.313784416189	0.0	0.252254165713	0.313167399541	0.323858370642	0.309991914056	0.324906450088	0.296781642751
MM2	0.235160568152	0.288170449795	0.335112172393	0.245670700729	0.257877420532	0.248233224453	0.303625832067	0.343081616545	0.230707286914	0.241899573332	0.289914516578	0.259722375887	0.337140379295	0.284534255319	0.249555594943	0.283959596042	0.331315071957	0.252254165713	0.0	0.321302230297	0.338465448752	0.323399579864	0.341270248227	0.304648154388
NLE1	0.281691438008	0.32030047529	0.280030099413	0.244434542254	0.299254931857	0.299487992958	0.271380023642	0.295882927014	0.279461547643	0.263527348629	0.273037233489	0.282617233793	0.195918412507	0.205420635551	0.239586846539	0.288552574362	0.17876284286	0.313167399541	0.321302230297	0.0	0.186584998872	0.264605359257	0.197620583608	0.178758183174
ME2	0.307468732888	0.348911835924	0.23287001597	0.297704543131	0.328516007066	0.311403198587	0.27668641548	0.269920331225	0.290662893739	0.279829288256	0.262253432843	0.310133800005	0.162629754662	0.276905351329	0.297601412925	0.268908208944	0.168051340364	0.323858370642	0.338465448752	0.186584998872	0.0	0.250517730543	0.158399669115	0.14951633452
NLB1	0.271056643129	0.361852718917	0.180635233907	0.268440722086	0.317956140913	0.321962594917	0.156663072981	0.175049179726	0.293223810365	0.294591021584	0.139783554181	0.245499246839	0.223620600067	0.289288207678	0.306305036488	0.191225664589	0.231717412726	0.309991914056	0.323399579864	0.264605359257	0.250517730543	0.0	0.243598022664	0.184651568802
ME1	0.304909320288	0.35431518701	0.228828238478	0.288935765658	0.323165312516	0.317877745979	0.292753970365	0.27923368243	0.287211699823	0.284089143131	0.262358978272	0.325039148936	0.17206214846	0.26448641844	0.283609680976	0.281428512126	0.147650331832	0.324906450088	0.341270248227	0.197620583608	0.158399669115	0.243598022664	0.0	0.175407266601
IE1	0.263171448944	0.325205170381	0.19888402261	0.248404688236	0.296803756881	0.284777029222	0.227404971149	0.214607072545	0.26204984429	0.256298647687	0.193875122292	0.249164834305	0.116379008463	0.235580494309	0.267337499969	0.211618929398	0.156504396187	0.296781642751	0.304648154388	0.178758183174	0.14951633452	0.184651568802	0.175407266601	0.0
